,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
9,F,Y,N,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
9,G,Y,N,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
9,H,Y,N,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
9,I,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,
9,J,Y,N,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
10,J,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
10,I,Y,N,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,
10,H,Y,N,1,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,1,,
10,G,Y,N,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
10,F,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
10,E,Y,N,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,
10,D,Y,N,1,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,
10,C,Y,N,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
10,B,Y,N,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,Y,N,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,
,,% freq.,,68,40,39,40,56,9,21,2,0,12,18,6,2,0,0,0,6,0,0,0,0,0,0,0,4,31,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
