,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
4,D,Y,Y,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
4,C,Y,N,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
4,B,Y,N,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
4,A,Y,N,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,
5,A,Y,N,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
5,B,Y,N,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,Y,N,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,
5,D,Y,Y,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,
5,E,Y,Y,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
5,F,Y,N,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,G,Y,N,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,H,Y,N,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
5,I,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
5,J,Y,Y,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,
6,J,Y,Y,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,I,Y,N,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
6,H,Y,N,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,
6,G,Y,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,E,Y,N,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,D,Y,N,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,Y,N,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
6,B,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
6,A,Y,N,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,
7,A,Y,N,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
7,B,Y,N,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
7,C,Y,N,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,D,Y,N,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,
7,E,Y,N,1,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,
7,F,Y,N,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,
7,G,Y,N,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
7,H,Y,N,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
7,I,Y,N,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,
7,J,Y,N,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,
8,J,Y,N,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,1,,
8,I,Y,N,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,
