"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1I","1st","","acalypha.crenata",NA,"C","S","20090130"
"1I","1st","","aerva.lanata",NA,"C","S","20090130"
"1I","1st","","amaranthus.hibridus",NA,"C","S","20090130"
"1I","1st","","aspilia.pluriseta",NA,"C","S","20090130"
"1I","1st","","asterolinon.adoense..v.",NA,"C","S","20090130"
"1I","1st","","caralluma.acutangula",NA,"C","S","20090130"
"1I","1st","","chenopodium.opulifolium",NA,"C","S","20090130"
"1I","1st","","chenopodium.schraderianum",NA,"C","S","20090130"
"1I","1st","","commelina.spp",NA,"C","S","20090130"
"1I","1st","","commicarpus.pedunculosus",NA,"C","S","20090130"
"1I","1st","","conyza.sp",NA,"C","S","20090130"
"1I","1st","","corchorus.sp",NA,"C","S","20090130"
"1I","1st","","crotelaria.sp",NA,"C","S","20090130"
"1I","1st","","cyathula.orthacantha",NA,"C","S","20090130"
"1I","1st","","dyscoriste.radicans",NA,"C","S","20090130"
"1I","1st","","euphorbia.inaequilatera",NA,"C","S","20090130"
"1I","1st","","evolvulus.alsinoides",NA,"C","S","20090130"
"1I","1st","","fern",NA,"C","S","20090130"
"1I","1st","","gutenbergia.sp",NA,"C","S","20090130"
"1I","1st","","hermannia.uhligii",NA,"C","S","20090130"
"1I","1st","","hibiscus.flavifolius",NA,"C","S","20090130"
"1I","1st","","hibiscus.trionum",NA,"C","S","20090130"
"1I","1st","","indigofera.brevicalyx",NA,"C","S","20090130"
"1I","1st","","indigofera.schimperi",NA,"C","S","20090130"
"1I","1st","","ipomea.sinensis",NA,"C","S","20090130"
"1I","1st","","justicia.dichipteroides",NA,"C","S","20090130"
"1I","1st","","k",NA,"C","S","20090130"
"1I","1st","","kyllinga.sp",NA,"C","S","20090130"
"1I","1st","","leucas.glabrata",NA,"C","S","20090130"
"1I","1st","","leucas.martiniscensis",NA,"C","S","20090130"
"1I","1st","","lily.a",NA,"C","S","20090130"
"1I","1st","","lily.b",NA,"C","S","20090130"
"1I","1st","","lippia.javanica",NA,"C","S","20090130"
"1I","1st","","melhania.spp.",NA,"C","S","20090130"
"1I","1st","","misopates.orontium",NA,"C","S","20090130"
"1I","1st","","mollugo.nudicaulis",NA,"C","S","20090130"
"1I","1st","","monechima.debile",NA,"C","S","20090130"
"1I","1st","","monsonia.augustifolia",NA,"C","S","20090130"
"1I","1st","","ocimum.sp",NA,"C","S","20090130"
"1I","1st","","osteospermum.vaillantii",NA,"C","S","20090130"
"1I","1st","","oxygonum.sinuatum",NA,"C","S","20090130"
"1I","1st","","pavonia.patens",NA,"C","S","20090130"
